Date,Forecast
2017-12-26,-96.89323980405665
2017-12-27,-95.57086773137175
2017-12-28,-95.34609629181905
2017-12-29,-95.3078905545064
2017-12-30,-95.30139649829309
2017-12-31,-95.30029266496679
2018-01-01,-95.30010503985665
2018-01-02,-95.30007314810169
2018-01-03,-95.30006772727057
2018-01-04,-95.3000668058597
2018-01-05,-95.30006664924201
2018-01-06,-95.30006662262078
2018-01-07,-95.30006661809581
2018-01-08,-95.30006661732668
2018-01-09,-95.30006661719594
2018-01-10,-95.30006661717371
2018-01-11,-95.30006661716993
2018-01-12,-95.30006661716929
2018-01-13,-95.30006661716918
2018-01-14,-95.30006661716916
2018-01-15,-95.30006661716916
2018-01-16,-95.30006661716916
2018-01-17,-95.30006661716916
2018-01-18,-95.30006661716916
2018-01-19,-95.30006661716916
2018-01-20,-95.30006661716916
2018-01-21,-95.30006661716916
2018-01-22,-95.30006661716916
2018-01-23,-95.30006661716916
2018-01-24,-95.30006661716916
