Sub-Category,Sales,Order_Date
Bookcases,261.96,11-08-2016
Chairs,731.94,11-08-2016
Labels,14.62,06-12-2016
Tables,957.5775,10-11-2015
Storage,22.368,10-11-2015
Furnishings,48.86,06-09-2014
Art,7.28,06-09-2014
Phones,907.152,06-09-2014
Binders,18.504,06-09-2014
Appliances,114.9,06-09-2014
Tables,1706.184,06-09-2014
Phones,911.424,06-09-2014
Paper,15.552,4/15/2017
Binders,407.976,12-05-2016
Appliances,68.81,11/22/2015
Binders,2.544,11/22/2015
Storage,665.88,11-11-2014
Storage,55.5,5/13/2014
Art,8.56,8/27/2014
Phones,213.48,8/27/2014
Binders,22.72,8/27/2014
Art,19.46,12-09-2016
Appliances,60.34,12-09-2016
Chairs,71.372,7/16/2017
Tables,1044.63,9/25/2015
Binders,11.648,1/16/2016
Accessories,90.57,1/16/2016
Bookcases,3083.43,9/17/2015
Binders,9.618,9/17/2015
Furnishings,124.2,9/17/2015
Envelopes,3.264,9/17/2015
Art,86.304,9/17/2015
Binders,6.858,9/17/2015
Art,15.76,9/17/2015
Paper,29.472,10/19/2017
Phones,1097.544,12-08-2016
Furnishings,190.92,12-08-2016
Envelopes,113.328,12/27/2015
Bookcases,532.3992,12/27/2015
Chairs,212.058,12/27/2015
Phones,371.168,12/27/2015
Phones,147.168,09-10-2017
Storage,77.88,7/17/2016
Storage,95.616,9/19/2017
Accessories,45.98,03-11-2016
Binders,17.46,03-11-2016
Storage,211.96,10/20/2014
Accessories,45.0,6/20/2016
Phones,21.8,6/20/2016
Binders,38.22,4/18/2015
Labels,75.18,4/18/2015
Furnishings,6.16,4/18/2015
Chairs,89.99,4/18/2015
Fasteners,15.26,12-11-2016
Phones,1029.95,12-11-2016
Storage,208.56,6/17/2016
Paper,32.4,6/17/2016
Chairs,319.41,6/17/2016
Paper,14.56,6/17/2016
Accessories,30.0,6/17/2016
Binders,48.48,6/17/2016
Art,1.68,6/17/2016
Accessories,13.98,11/24/2015
Binders,25.824,11/24/2015
Paper,146.73,11/24/2015
Furnishings,79.76,11/24/2015
Chairs,213.115,4/30/2015
Art,1113.024,12-05-2014
Phones,167.968,12-05-2014
Paper,75.88,06-04-2016
Binders,4.616,9/18/2016
Paper,19.05,9/14/2017
Chairs,831.936,4/26/2015
Furnishings,97.04,4/26/2015
Storage,72.784,4/26/2015
Binders,1.248,12-09-2017
Furnishings,9.708,12-09-2017
Storage,27.24,12-09-2017
Furnishings,19.3,11/26/2014
Appliances,208.16,06-12-2016
Binders,16.74,06-12-2016
Art,14.9,10-12-2014
Storage,21.39,10-12-2014
Envelopes,200.984,09-03-2015
Storage,230.376,11/13/2017
Chairs,301.96,5/28/2017
Accessories,19.99,10/26/2017
Labels,6.16,10/26/2017
Storage,158.368,04-05-2016
Art,20.1,9/17/2016
Phones,73.584,9/17/2016
Paper,6.48,9/17/2016
Paper,12.96,1/31/2015
Furnishings,53.34,1/31/2015
Binders,32.96,1/31/2015
Binders,5.682,11-06-2017
Furnishings,96.53,11-09-2017
Binders,51.312,6/17/2017
Appliances,77.88,09-06-2016
Paper,64.624,8/29/2016
Accessories,95.976,8/29/2016
Binders,1.788,8/29/2016
Paper,23.92,12-01-2016
Accessories,238.896,11/13/2015
Furnishings,102.36,11/13/2015
Binders,36.882,11/13/2015
Accessories,74.112,11/23/2017
Phones,27.992,11/23/2017
Art,3.304,11/23/2017
Accessories,339.96,10/15/2015
Furnishings,41.96,12/25/2017
Art,75.96,11-03-2016
Binders,27.24,11-03-2016
Fasteners,40.096,8/25/2014
Envelopes,4.72,8/25/2014
Paper,23.976,8/25/2014
Envelopes,130.464,8/25/2014
Tables,787.53,03-02-2015
Binders,157.794,04-05-2015
Furnishings,47.04,06-12-2016
Binders,30.84,06-12-2016
Storage,226.56,06-12-2016
Envelopes,115.02,06-12-2016
Phones,68.04,06-12-2016
Chairs,600.558,12/26/2014
Tables,617.7,9/20/2014
Binders,2.388,11-05-2017
Storage,243.992,11-05-2017
Chairs,81.424,11-06-2016
Furnishings,238.56,11-06-2016
Phones,59.97,02-02-2017
Paper,78.304,02-02-2017
Fasteners,21.456,02-02-2017
Paper,20.04,10/13/2016
Paper,35.44,10/13/2016
Art,11.52,10/13/2016
Fasteners,4.02,10/13/2016
Binders,76.176,10/13/2016
Supplies,65.88,10/13/2016
Furnishings,43.12,10/13/2016
Furnishings,82.8,09-05-2016
Art,8.82,9/18/2017
Envelopes,10.86,9/18/2017
Paper,143.7,9/18/2017
Appliances,839.43,12/22/2017
Storage,671.93,09-07-2015
Furnishings,93.888,10/22/2014
Phones,384.45,12-05-2016
Phones,149.97,12-05-2016
Chairs,1951.84,12-05-2016
Binders,171.55,12-05-2016
Appliances,157.92,3/13/2016
Phones,203.184,3/13/2016
Paper,58.38,5/31/2015
Paper,105.52,5/31/2015
Storage,80.88,5/31/2015
Art,6.63,5/28/2015
Chairs,457.568,03-01-2014
Labels,14.62,11/20/2016
Phones,944.93,11/20/2016
Paper,5.98,05-11-2016
Accessories,54.384,12/28/2015
Envelopes,28.4,11/16/2016
Binders,27.68,11-07-2016
Art,9.936,09-08-2014
Machines,8159.952,09-08-2014
Storage,275.928,09-08-2014
Chairs,1740.06,09-08-2014
Art,32.064,09-08-2014
Appliances,177.98,09-08-2014
Phones,143.976,09-08-2014
Paper,20.94,08-05-2014
Paper,110.96,08-05-2014
Chairs,340.144,08-05-2014
Appliances,52.448,9/14/2014
Labels,20.16,9/14/2014
Appliances,97.264,4/21/2017
Chairs,396.802,11/21/2015
Supplies,15.88,11/21/2015
Art,3.28,12/15/2015
Storage,24.816,12-05-2014
Accessories,408.744,12-05-2014
Phones,503.96,11/19/2014
Phones,149.95,11/19/2014
Accessories,29.0,11/19/2014
Binders,7.16,11/28/2016
Accessories,176.8,8/26/2014
Storage,37.224,7/16/2016
Paper,20.016,7/16/2016
Bookcases,899.136,10-12-2015
Phones,71.76,10-12-2015
Paper,51.84,10-12-2015
Bookcases,626.352,10-12-2015
Art,19.9,10-12-2015
Envelopes,14.28,10/31/2015
Art,7.408,3/21/2014
Art,6.048,3/21/2014
Storage,46.26,11-06-2017
Binders,2.946,07-06-2017
Paper,16.056,07-06-2017
Paper,21.744,6/24/2017
Tables,218.75,08-03-2014
Appliances,2.6,08-03-2014
Appliances,66.284,12/17/2017
Furnishings,35.168,06-03-2017
Phones,444.768,12-09-2017
Storage,83.92,12-01-2017
Phones,131.98,12-01-2017
Binders,15.92,12-01-2017
Fasteners,52.29,12-01-2017
Storage,91.99,12-01-2017
Accessories,20.8,02-09-2015
Labels,23.68,01-02-2015
Bookcases,452.45,01-02-2015
Phones,62.982,01-02-2015
Machines,1188.0,01-02-2015
Accessories,89.584,01-02-2015
Storage,93.06,10/28/2016
Phones,302.376,10/28/2016
Fasteners,5.584,12/24/2015
Paper,22.704,12/24/2015
Binders,19.776,12/24/2015
Furnishings,72.704,12/24/2015
Machines,479.988,12/24/2015
Art,27.168,12/24/2015
Art,2.2,08-09-2015
Tables,622.45,08-09-2015
Storage,21.98,08-09-2015
Chairs,161.568,2/28/2015
Chairs,389.696,2/28/2015
Binders,18.648,9/13/2014
Tables,233.86,04-07-2017
Tables,620.6145,04-07-2017
Binders,5.328,04-07-2017
Furnishings,258.072,04-07-2017
Accessories,617.976,04-07-2017
Paper,10.56,11-12-2017
Paper,25.92,06-04-2016
Furnishings,419.68,06-04-2016
Furnishings,11.688,06-04-2016
Phones,31.984,06-04-2016
Tables,177.225,06-04-2016
Furnishings,4.044,06-04-2016
Art,7.408,06-04-2016
Chairs,2001.86,06-01-2014
Storage,166.72,06-01-2014
Paper,47.88,06-01-2014
Appliances,1503.25,06-01-2014
Paper,25.92,06-01-2014
Chairs,321.568,12-10-2016
Paper,7.61,09-11-2016
Accessories,3347.37,09-11-2016
Storage,80.58,12-10-2016
Envelopes,361.92,12-10-2016
Furnishings,12.132,11/28/2015
Storage,82.368,11/28/2015
Storage,53.92,11/28/2015
Phones,647.904,11/28/2015
Accessories,20.37,12-01-2017
Storage,221.55,12-01-2017
Binders,17.52,12-01-2017
Appliances,1.624,06-08-2017
Machines,3059.982,9/19/2014
Machines,2519.958,9/19/2014
Phones,328.224,06-06-2016
Accessories,79.9,11-10-2015
Art,14.016,6/16/2017
Fasteners,7.56,1/22/2016
Storage,37.208,12-09-2017
Envelopes,57.576,12-09-2017
Storage,725.84,12/28/2017
Accessories,209.93,7/30/2015
Furnishings,5.28,7/30/2015
Binders,10.92,7/30/2015
Paper,8.82,9/16/2017
Art,5.98,9/16/2017
Paper,11.648,10/13/2017
Paper,18.176,10/13/2017
Storage,59.712,10/13/2017
Labels,24.84,10/13/2017
Binders,2.08,9/26/2015
Phones,1114.4,9/26/2015
Tables,1038.84,11-02-2015
Paper,141.76,9/26/2015
Accessories,239.8,9/26/2015
Paper,31.104,9/26/2015
Binders,254.058,12/18/2016
Appliances,194.528,12/18/2016
Supplies,961.48,12/18/2016
Fasteners,19.096,11/20/2016
Labels,18.496,11/20/2016
Accessories,255.984,11/20/2016
Bookcases,86.97,11/20/2016
Furnishings,300.416,12/26/2014
Chairs,230.352,12/26/2014
Furnishings,218.352,12/26/2014
Binders,78.6,12/26/2014
Fasteners,27.552,12/26/2014
Paper,32.4,10/28/2016
Storage,1082.48,10/28/2016
Paper,56.91,10/28/2016
Furnishings,77.6,10/28/2016
Binders,14.28,10/28/2016
Tables,219.075,11/19/2017
Furnishings,26.8,05-04-2015
Art,9.84,12/30/2014
Binders,45.48,06-01-2014
Art,289.2,06-01-2014
Art,4.89,4/15/2017
Furnishings,15.136,09-12-2016
Chairs,466.768,09-12-2016
Furnishings,15.232,09-12-2016
Labels,6.264,09-12-2016
Furnishings,87.54,9/27/2014
Phones,178.384,08-09-2014
Paper,15.552,08-09-2014
Art,99.136,12/28/2014
Chairs,135.882,11-04-2014
Machines,3991.98,11-04-2014
Phones,275.94,11-04-2014
Accessories,360.0,11-04-2014
Storage,43.57,11-04-2014
Fasteners,7.16,9/19/2014
Binders,251.52,4/23/2016
Accessories,99.99,4/23/2016
Furnishings,15.992,11-03-2017
Phones,290.898,8/30/2016
Storage,54.224,8/30/2016
Chairs,786.744,8/30/2016
Labels,100.24,8/30/2016
Binders,37.764,8/30/2016
Phones,82.8,4/25/2016
Binders,20.724,4/25/2016
Binders,4.896,4/25/2016
Binders,4.752,09-01-2015
Copiers,959.984,09-01-2015
Binders,14.368,09-01-2015
Binders,7.712,07-12-2014
Tables,698.352,07-12-2014
Fasteners,4.96,6/22/2015
Art,17.856,4/13/2014
Binders,509.97,4/13/2014
Fasteners,30.992,4/13/2014
Phones,71.928,4/13/2014
Storage,88.8,12/20/2015
Phones,47.976,6/15/2017
Art,7.56,07-08-2017
Paper,24.56,07-08-2017
Art,12.96,07-08-2017
Accessories,6.79,09-01-2016
Paper,24.56,09-01-2016
Binders,3.048,09-01-2016
Paper,49.12,09-01-2016
Binders,4355.168,09-01-2016
Bookcases,388.704,04-08-2016
Envelopes,8.26,04-08-2016
Art,17.04,04-08-2016
Paper,34.4,04-08-2016
Paper,36.24,4/23/2016
Appliances,647.84,03-08-2017
Labels,20.7,03-08-2017
Labels,20.7,9/25/2017
Chairs,488.646,9/25/2017
Art,5.56,9/25/2017
Furnishings,47.12,9/25/2017
Storage,211.96,9/24/2014
Binders,23.2,10/21/2016
Supplies,7.36,10/21/2016
Storage,104.79,10/21/2016
Bookcases,1043.92,10/21/2016
Paper,25.92,5/29/2017
Storage,53.424,5/29/2017
Binders,8.16,7/23/2014
Accessories,1023.936,7/23/2014
Art,9.24,7/23/2014
Accessories,479.04,7/23/2014
Paper,99.136,9/28/2016
Tables,1488.424,8/27/2017
Appliances,8.652,4/28/2015
Storage,23.832,4/28/2015
Binders,12.176,4/28/2015
Paper,50.96,10/28/2016
Binders,49.536,10/28/2016
Accessories,41.9,6/26/2015
Tables,375.4575,11/27/2015
Accessories,83.976,11/27/2015
Machines,482.34,12-03-2015
Furnishings,2.96,12-03-2015
Art,2.624,11/24/2014
Binders,23.36,12-11-2017
Accessories,39.98,12-11-2017
Phones,246.384,9/21/2014
Copiers,1799.97,9/21/2014
Binders,12.462,06-07-2014
Binders,75.792,6/30/2017
Storage,49.96,10/17/2017
Paper,12.96,10/17/2017
Supplies,70.12,10/31/2015
Storage,35.952,09-08-2016
Bookcases,2396.2656,09-08-2016
Storage,131.136,09-08-2016
Accessories,57.584,09-08-2016
Paper,9.568,12/24/2014
Art,39.072,4/16/2014
Appliances,35.91,12/24/2017
Accessories,179.95,12-08-2017
Copiers,1199.976,12-08-2017
Paper,27.15,12-08-2017
Tables,1004.024,12-08-2017
Paper,9.68,12-08-2017
Labels,28.35,12-08-2017
Paper,55.98,12-08-2017
Bookcases,1336.829,12-08-2017
Chairs,113.568,12-08-2017
Paper,139.86,11-03-2017
Chairs,307.136,11-03-2017
Art,95.92,6/24/2017
Chairs,383.8,4/14/2016
Paper,5.78,11-06-2017
Art,9.32,03-04-2017
Envelopes,15.25,03-04-2017
Accessories,196.752,6/22/2014
Furnishings,56.56,10/19/2017
Storage,32.7,10/19/2017
Chairs,866.4,8/21/2017
Furnishings,28.4,11/23/2017
Binders,287.92,11/23/2017
Machines,69.99,09-12-2014
Art,6.672,10-01-2017
Binders,189.588,4/15/2016
Accessories,408.744,4/15/2016
Accessories,291.96,4/15/2016
Storage,4.768,4/15/2016
Storage,714.3,06-06-2016
Binders,4.812,12/19/2014
Accessories,247.8,12/19/2014
Machines,1007.979,06-12-2016
Paper,313.488,06-12-2016
Paper,31.872,9/15/2017
Chairs,207.846,1/20/2017
Furnishings,12.22,09-05-2016
Storage,194.94,09-05-2016
Storage,70.95,09-05-2016
Paper,91.36,09-05-2016
Chairs,242.94,09-05-2016
Labels,22.05,09-05-2016
Furnishings,2.91,3/20/2017
Art,59.52,04-01-2016
Storage,161.94,04-01-2016
Art,263.88,04-01-2016
Art,30.48,04-01-2016
Art,9.84,04-01-2016
Phones,35.12,04-01-2016
Tables,284.364,10/20/2017
Storage,665.408,10/20/2017
Accessories,63.88,12/13/2016
Chairs,129.568,02-12-2014
Chairs,747.558,9/26/2016
Envelopes,8.928,9/26/2016
Appliances,103.92,12/15/2015
Accessories,899.91,12/15/2015
Binders,51.312,12/15/2015
Furnishings,23.56,4/22/2016
Tables,1272.63,4/22/2016
Binders,28.485,4/22/2016
Supplies,185.376,4/22/2016
Appliances,78.272,4/22/2016
Furnishings,254.744,1/17/2015
Bookcases,205.3328,3/31/2017
Binders,4.788,12/16/2016
Paper,55.48,12/20/2015
Storage,340.92,11-09-2014
Bookcases,222.666,11-09-2014
Phones,703.968,11-09-2014
Storage,92.52,11-09-2014
Paper,62.65,11-09-2014
Paper,94.85,11-09-2014
Phones,95.76,07-12-2016
Furnishings,40.2,10/27/2016
Art,14.7,6/26/2016
Storage,704.25,6/26/2016
Accessories,9.09,10-06-2014
Art,5.96,7/22/2014
Accessories,159.98,7/22/2014
Labels,29.6,06-10-2017
Bookcases,514.165,06-10-2017
Phones,279.96,06-10-2017
Phones,2735.952,10/29/2014
Phones,7.992,06-09-2014
Accessories,63.984,06-09-2014
Art,70.368,06-09-2014
Storage,449.15,9/14/2014
Envelopes,11.07,9/14/2014
Accessories,93.98,05-09-2016
Tables,189.882,3/18/2016
Envelopes,105.42,12/27/2015
Binders,119.616,7/25/2016
Furnishings,255.76,7/25/2016
Chairs,241.568,7/25/2016
Furnishings,69.3,7/25/2016
Binders,22.62,5/30/2016
Binders,14.952,5/30/2016
Chairs,801.568,5/30/2016
Binders,2.376,5/30/2016
Paper,32.792,5/30/2016
Binders,15.92,11-12-2017
Art,2.74,3/16/2015
Art,8.34,3/16/2015
Storage,46.74,3/16/2015
Binders,6354.95,3/16/2015
Furnishings,126.3,11/26/2017
Accessories,38.04,11/26/2017
Art,7.152,10/20/2016
Art,6.63,12/21/2017
Art,5.88,12/21/2017
Copiers,2999.95,1/22/2017
Storage,51.45,1/22/2017
Paper,11.96,1/22/2017
Storage,1126.02,1/22/2017
Accessories,18.392,3/22/2015
Storage,129.568,3/22/2015
Binders,14.112,3/22/2015
Tables,210.98,1/23/2017
Phones,55.176,5/21/2016
Accessories,66.26,5/21/2016
Fasteners,22.2,12/26/2015
Chairs,683.952,10/21/2017
Furnishings,45.696,10/21/2017
Storage,36.336,09-03-2015
Supplies,666.248,09-03-2015
Envelopes,52.512,09-03-2015
Chairs,190.72,11-07-2015
Furnishings,47.94,09-07-2017
Phones,979.95,5/29/2016
Binders,22.75,5/29/2016
Storage,16.768,07-10-2016
Binders,42.616,09-03-2017
Binders,10.752,12-03-2015
Appliances,152.94,12-07-2015
Chairs,283.92,12-07-2015
Accessories,468.9,02-01-2014
Phones,380.864,7/14/2016
Storage,646.776,12/18/2015
Accessories,58.112,05-11-2014
Phones,100.792,05-11-2014
Furnishings,66.112,05-11-2014
Binders,41.28,11/19/2017
Paper,13.36,11/19/2017
Storage,250.272,11/15/2015
Binders,11.364,11/15/2015
Supplies,8.72,11/15/2015
Chairs,1121.568,4/15/2016
Furnishings,34.504,09-11-2017
Fasteners,10.824,11/24/2017
Storage,1295.78,6/29/2017
Art,19.456,03-03-2014
Labels,20.7,06-10-2016
Tables,1335.68,06-10-2016
Paper,32.4,06-10-2016
Furnishings,42.6,11/20/2017
Binders,84.056,11/20/2017
Appliances,13.0,9/14/2014
Furnishings,13.128,9/14/2014
Fasteners,3.96,12-07-2015
Labels,2.61,12-07-2015
Phones,374.376,12-07-2017
Paper,91.84,10-01-2017
Binders,81.088,10-01-2017
Paper,19.44,10-01-2017
Chairs,451.152,10-01-2017
Labels,72.45,12/28/2017
Fasteners,13.96,12/28/2017
Binders,33.264,12/28/2017
Phones,14.85,12/28/2017
Art,8.82,11-03-2016
Paper,160.72,9/18/2015
Paper,19.92,9/18/2015
Supplies,7.3,9/18/2015
Storage,69.712,7/20/2017
Furnishings,8.792,7/20/2017
Supplies,51.52,09-10-2015
Phones,470.376,12-01-2017
Phones,105.584,12-01-2017
Appliances,31.152,12-01-2017
Binders,6.783,12-01-2017
Phones,406.368,12-01-2017
Chairs,70.98,07-03-2015
Labels,294.93,07-03-2015
Phones,84.784,3/20/2016
Paper,20.736,3/20/2016
Binders,16.821,3/20/2016
Paper,10.368,3/20/2016
Art,9.344,01-09-2014
Accessories,31.2,01-09-2014
Appliances,76.12,08-08-2014
Copiers,1199.976,08-08-2014
Phones,445.96,08-08-2014
Furnishings,327.76,08-08-2014
Supplies,11.632,7/14/2016
Phones,143.982,7/16/2016
Phones,494.376,7/16/2016
Supplies,5.84,7/16/2016
Storage,142.776,3/15/2014
Furnishings,45.696,3/15/2014
Binders,7.218,3/15/2014
Binders,43.188,3/15/2014
Paper,131.904,3/15/2014
Binders,3.282,5/23/2014
Art,21.168,5/23/2014
Phones,55.188,5/23/2014
Phones,369.576,4/28/2016
Labels,15.712,4/28/2016
Paper,8.448,09-11-2016
Phones,728.946,09-11-2016
Phones,119.94,11/14/2017
Binders,3.648,11/14/2017
Furnishings,40.48,8/18/2017
Furnishings,9.94,8/18/2017
Binders,107.424,8/18/2017
Phones,37.91,8/18/2017
Furnishings,88.02,8/18/2017
Binders,8.69,12/26/2014
Chairs,301.96,11/29/2015
Appliances,555.21,11/29/2015
Storage,523.48,11/29/2015
Art,161.82,11/29/2015
Furnishings,35.56,9/15/2017
Appliances,97.16,5/19/2017
Binders,15.24,12/17/2017
Paper,13.23,12/17/2017
Storage,243.384,12-11-2016
Accessories,119.8,12-11-2016
Phones,300.768,12-11-2016
Accessories,17.88,9/24/2017
Labels,235.944,9/24/2017
Chairs,392.94,10-04-2015
Binders,18.882,8/15/2016
Appliances,122.328,8/15/2016
Furnishings,1049.2,5/20/2016
Binders,15.424,5/20/2016
Furnishings,18.84,12/18/2016
Storage,330.4,7/30/2017
Labels,26.25,7/30/2017
Accessories,132.52,06-10-2017
Paper,6.48,7/21/2017
Appliances,209.3,12/30/2017
