Category,Quantity,Order_Date
Furniture,3,11-08-2016
Office Supplies,2,06-12-2016
Furniture,5,10-11-2015
Office Supplies,2,10-11-2015
Furniture,7,06-09-2014
Office Supplies,4,06-09-2014
Technology,6,06-09-2014
Office Supplies,3,06-09-2014
Office Supplies,5,06-09-2014
Furniture,9,06-09-2014
Technology,4,06-09-2014
Office Supplies,3,4/15/2017
Office Supplies,3,12-05-2016
Office Supplies,5,11/22/2015
Office Supplies,3,11/22/2015
Office Supplies,6,11-11-2014
Office Supplies,2,5/13/2014
Office Supplies,2,8/27/2014
Technology,3,8/27/2014
Office Supplies,4,8/27/2014
Office Supplies,7,12-09-2016
Office Supplies,7,12-09-2016
Furniture,2,7/16/2017
Furniture,3,9/25/2015
Office Supplies,2,1/16/2016
Technology,3,1/16/2016
Furniture,7,9/17/2015
Office Supplies,2,9/17/2015
Furniture,3,9/17/2015
Office Supplies,2,9/17/2015
Office Supplies,6,9/17/2015
Office Supplies,6,9/17/2015
Office Supplies,2,9/17/2015
Office Supplies,3,10/19/2017
Technology,7,12-08-2016
Furniture,5,12-08-2016
Office Supplies,9,12/27/2015
Furniture,3,12/27/2015
Furniture,3,12/27/2015
Technology,4,12/27/2015
Technology,4,09-10-2017
Office Supplies,2,7/17/2016
Office Supplies,2,9/19/2017
Technology,2,03-11-2016
Office Supplies,2,03-11-2016
Office Supplies,4,10/20/2014
Technology,3,6/20/2016
Technology,2,6/20/2016
Office Supplies,6,4/18/2015
Office Supplies,6,4/18/2015
Furniture,2,4/18/2015
Furniture,1,4/18/2015
Office Supplies,7,12-11-2016
Technology,5,12-11-2016
Office Supplies,6,6/17/2016
Office Supplies,5,6/17/2016
Furniture,5,6/17/2016
Office Supplies,2,6/17/2016
Technology,2,6/17/2016
Office Supplies,4,6/17/2016
Office Supplies,1,6/17/2016
Technology,2,11/24/2015
Office Supplies,6,11/24/2015
Office Supplies,3,11/24/2015
Furniture,4,11/24/2015
Furniture,5,4/30/2015
Office Supplies,8,12-05-2014
Technology,4,12-05-2014
Office Supplies,2,06-04-2016
Office Supplies,1,9/18/2016
Office Supplies,3,9/14/2017
Furniture,8,4/26/2015
Furniture,2,4/26/2015
Office Supplies,1,4/26/2015
Office Supplies,3,12-09-2017
Furniture,3,12-09-2017
Office Supplies,3,12-09-2017
Furniture,5,11/26/2014
Office Supplies,1,06-12-2016
Office Supplies,3,06-12-2016
Office Supplies,5,10-12-2014
Office Supplies,1,10-12-2014
Office Supplies,7,09-03-2015
Office Supplies,3,11/13/2017
Furniture,2,5/28/2017
Technology,1,10/26/2017
Office Supplies,2,10/26/2017
Office Supplies,7,04-05-2016
Office Supplies,3,9/17/2016
Technology,2,9/17/2016
Office Supplies,1,9/17/2016
Office Supplies,2,1/31/2015
Furniture,3,1/31/2015
Office Supplies,2,1/31/2015
Office Supplies,1,11-06-2017
Furniture,7,11-09-2017
Office Supplies,3,6/17/2017
Office Supplies,6,09-06-2016
Office Supplies,7,8/29/2016
Technology,3,8/29/2016
Office Supplies,3,8/29/2016
Office Supplies,4,12-01-2016
Technology,6,11/13/2015
Furniture,3,11/13/2015
Office Supplies,3,11/13/2015
Technology,8,11/23/2017
Technology,1,11/23/2017
Office Supplies,1,11/23/2017
Technology,5,10/15/2015
Furniture,2,12/25/2017
Office Supplies,2,11-03-2016
Office Supplies,6,11-03-2016
Office Supplies,14,8/25/2014
Office Supplies,2,8/25/2014
Office Supplies,3,8/25/2014
Office Supplies,6,8/25/2014
Furniture,3,03-02-2015
Office Supplies,1,04-05-2015
Furniture,3,06-12-2016
Office Supplies,4,06-12-2016
Office Supplies,6,06-12-2016
Office Supplies,9,06-12-2016
Technology,7,06-12-2016
Furniture,3,12/26/2014
Furniture,6,9/20/2014
Office Supplies,2,11-05-2017
Office Supplies,7,11-05-2017
Furniture,2,11-06-2016
Furniture,3,11-06-2016
Technology,5,02-02-2017
Office Supplies,2,02-02-2017
Office Supplies,9,02-02-2017
Office Supplies,3,10/13/2016
Office Supplies,1,10/13/2016
Office Supplies,4,10/13/2016
Office Supplies,2,10/13/2016
Office Supplies,3,10/13/2016
Office Supplies,6,10/13/2016
Furniture,14,10/13/2016
Furniture,2,09-05-2016
Office Supplies,3,9/18/2017
Office Supplies,3,9/18/2017
Office Supplies,3,9/18/2017
Office Supplies,3,12/22/2017
Office Supplies,7,09-07-2015
Furniture,4,10/22/2014
Technology,11,12-05-2016
Technology,3,12-05-2016
Furniture,8,12-05-2016
Office Supplies,5,12-05-2016
Office Supplies,5,3/13/2016
Technology,2,3/13/2016
Office Supplies,7,5/31/2015
Office Supplies,4,5/31/2015
Office Supplies,6,5/31/2015
