Sub-Category,Profit,Order_Date
Bookcases,41.9136,11-08-2016
Chairs,219.582,11-08-2016
Labels,6.8714,06-12-2016
Tables,-383.031,10-11-2015
Storage,2.5164,10-11-2015
Furnishings,14.1694,06-09-2014
Art,1.9656,06-09-2014
Phones,90.7152,06-09-2014
Binders,5.7825,06-09-2014
Appliances,34.47,06-09-2014
Tables,85.3092,06-09-2014
Phones,68.3568,06-09-2014
Paper,5.4432,4/15/2017
Binders,132.5922,12-05-2016
Appliances,-123.858,11/22/2015
Binders,-3.816,11/22/2015
Storage,13.3176,11-11-2014
Storage,9.99,5/13/2014
Art,2.4824,8/27/2014
Phones,16.011,8/27/2014
Binders,7.384,8/27/2014
Art,5.0596,12-09-2016
Appliances,15.6884,12-09-2016
Chairs,-1.0196,7/16/2017
Tables,240.2649,9/25/2015
Binders,4.2224,1/16/2016
Accessories,11.7741,1/16/2016
Bookcases,-1665.0522,9/17/2015
Binders,-7.0532,9/17/2015
Furnishings,15.525,9/17/2015
Envelopes,1.1016,9/17/2015
Art,9.7092,9/17/2015
Binders,-5.715,9/17/2015
Art,3.546,9/17/2015
Paper,9.9468,10/19/2017
Phones,123.4737,12-08-2016
Furnishings,-147.963,12-08-2016
Envelopes,35.415,12/27/2015
Bookcases,-46.9764,12/27/2015
Chairs,-15.147,12/27/2015
Phones,41.7564,12/27/2015
Phones,16.5564,09-10-2017
Storage,3.894,7/17/2016
Storage,9.5616,9/19/2017
Accessories,19.7714,03-11-2016
Binders,8.2062,03-11-2016
Storage,8.4784,10/20/2014
Accessories,4.95,6/20/2016
Phones,6.104,6/20/2016
Binders,17.9634,4/18/2015
Labels,35.3346,4/18/2015
Furnishings,2.9568,4/18/2015
Chairs,17.0981,4/18/2015
Fasteners,6.2566,12-11-2016
Phones,298.6855,12-11-2016
Storage,52.14,6/17/2016
Paper,15.552,6/17/2016
Chairs,7.098,6/17/2016
Paper,6.9888,6/17/2016
Accessories,3.3,6/17/2016
Binders,16.362,6/17/2016
Art,0.84,6/17/2016
Accessories,6.1512,11/24/2015
Binders,9.3612,11/24/2015
Paper,68.9631,11/24/2015
Furnishings,22.3328,11/24/2015
Chairs,-15.2225,4/30/2015
Art,111.3024,12-05-2014
Phones,62.988,12-05-2014
Paper,35.6636,06-04-2016
Binders,1.731,9/18/2016
Paper,8.763,9/14/2017
Chairs,-114.3912,4/26/2015
Furnishings,1.213,4/26/2015
Storage,-18.196,4/26/2015
Binders,-1.9344,12-09-2017
Furnishings,-5.8248,12-09-2017
Storage,2.724,12-09-2017
Furnishings,-14.475,11/26/2014
Appliances,56.2032,06-12-2016
Binders,8.0352,06-12-2016
Art,4.172,10-12-2014
Storage,6.2031,10-12-2014
Envelopes,62.8075,09-03-2015
Storage,-48.9549,11/13/2017
Chairs,33.2156,5/28/2017
Accessories,6.7966,10/26/2017
Labels,2.9568,10/26/2017
Storage,13.8572,04-05-2016
Art,6.633,9/17/2016
Phones,8.2782,9/17/2016
Paper,3.1104,9/17/2016
Paper,6.2208,1/31/2015
Furnishings,16.5354,1/31/2015
Binders,16.1504,1/31/2015
Binders,-3.788,11-06-2017
Furnishings,40.5426,11-09-2017
Binders,17.9592,6/17/2017
Appliances,22.5852,09-06-2016
Paper,22.6184,8/29/2016
Accessories,-10.7973,8/29/2016
Binders,-3.0396,8/29/2016
Paper,11.7208,12-01-2016
Accessories,-26.8758,11/13/2015
Furnishings,-3.8385,11/13/2015
Binders,-25.8174,11/13/2015
Accessories,17.6016,11/23/2017
Phones,2.0994,11/23/2017
Art,1.0738,11/23/2017
Accessories,67.992,10/15/2015
Furnishings,10.9096,12/25/2017
Art,22.788,11-03-2016
Binders,13.3476,11-03-2016
Fasteners,14.5348,8/25/2014
Envelopes,1.652,8/25/2014
Paper,7.4925,8/25/2014
Envelopes,44.0316,8/25/2014
Tables,165.3813,03-02-2015
Binders,-115.7156,04-05-2015
Furnishings,18.3456,06-12-2016
Binders,13.878,06-12-2016
Storage,63.4368,06-12-2016
Envelopes,51.759,06-12-2016
Phones,19.7316,06-12-2016
Chairs,-8.5794,12/26/2014
Tables,-407.682,9/20/2014
Binders,-1.8308,11-05-2017
Storage,30.499,11-05-2017
Chairs,-9.1602,11-06-2016
Furnishings,26.2416,11-06-2016
Phones,-11.994,02-02-2017
Paper,29.364,02-02-2017
Fasteners,6.9732,02-02-2017
Paper,9.6192,10/13/2016
Paper,16.6568,10/13/2016
Art,3.456,10/13/2016
Fasteners,1.9698,10/13/2016
Binders,26.6616,10/13/2016
Supplies,18.4464,10/13/2016
Furnishings,20.6976,10/13/2016
Furnishings,10.35,09-05-2016
Art,2.3814,9/18/2017
Envelopes,5.1042,9/18/2017
Paper,68.976,9/18/2017
Appliances,218.2518,12/22/2017
Storage,20.1579,09-07-2015
Furnishings,12.9096,10/22/2014
Phones,103.8015,12-05-2016
Phones,5.9988,12-05-2016
Chairs,585.552,12-05-2016
Binders,80.6285,12-05-2016
Appliances,17.766,3/13/2016
Phones,15.2388,3/13/2016
Paper,26.271,5/31/2015
Paper,48.5392,5/31/2015
Storage,21.0288,5/31/2015
Art,1.7901,5/28/2015
Chairs,51.4764,03-01-2014
Labels,6.8714,11/20/2016
Phones,236.2325,11/20/2016
Paper,2.691,05-11-2016
Accessories,1.3596,12/28/2015
Envelopes,13.348,11/16/2016
Binders,9.688,11-07-2016
Art,2.7324,09-08-2014
Machines,-1359.992,09-08-2014
Storage,-58.6347,09-08-2014
Chairs,-24.858,09-08-2014
Art,6.8136,09-08-2014
Appliances,-453.849,09-08-2014
Phones,8.9985,09-08-2014
Paper,9.8418,08-05-2014
Paper,53.2608,08-05-2014
Chairs,21.259,08-05-2014
Appliances,-131.12,9/14/2014
Labels,6.552,9/14/2014
Appliances,-243.16,4/21/2017
Chairs,-11.3372,11/21/2015
Supplies,-3.7715,11/21/2015
Art,1.4104,12/15/2015
Storage,1.8612,12-05-2014
Accessories,76.6395,12-05-2014
Phones,131.0296,11/19/2014
Phones,41.986,11/19/2014
Accessories,7.25,11/19/2014
Binders,3.4368,11/28/2016
Accessories,22.984,8/26/2014
Storage,3.7224,7/16/2016
Paper,6.255,7/16/2016
Bookcases,112.392,10-12-2015
Phones,20.0928,10-12-2015
Paper,24.8832,10-12-2015
Bookcases,46.9764,10-12-2015
Art,6.567,10-12-2015
Envelopes,6.7116,10/31/2015
Art,1.2038,3/21/2014
Art,1.5876,3/21/2014
Storage,12.0276,11-06-2017
Binders,-2.2586,07-06-2017
Paper,5.8203,07-06-2017
Paper,6.795,6/24/2017
Tables,-161.875,08-03-2014
Appliances,0.2925,08-03-2014
Appliances,-178.9668,12/17/2017
Furnishings,9.6712,06-03-2017
Phones,44.4768,12-09-2017
