Row ID,Order ID,Order Date,Customer ID,Region,Product ID,Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2015-149587,31-01-2024,KB-16315,Central,OFF-PA-10003177,Office Supplies,Xerox 1999,12.96,2,0,6.2208
2,CA-2015-149587,01-02-2024,KB-16315,Central,FUR-FU-10003799,Furniture,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
3,CA-2015-149587,02-02-2024,KB-16315,Central,OFF-BI-10002852,Office Supplies,Ibico Standard Transparent Covers,32.96,2,0,16.1504
4,US-2017-109484,03-02-2024,RB-19705,West,OFF-BI-10004738,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
5,CA-2017-161018,04-02-2024,PN-18775,East,FUR-FU-10000629,Furniture,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
6,CA-2017-157833,05-02-2024,KD-16345,West,OFF-BI-10001721,Office Supplies,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
7,CA-2016-149223,06-02-2024,ER-13855,Central,OFF-AP-10000358,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
8,CA-2016-158568,07-02-2024,RB-19465,Central,OFF-PA-10003256,Office Supplies,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
9,CA-2016-158568,08-02-2024,RB-19465,Central,TEC-AC-10001767,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
10,CA-2016-158568,09-02-2024,RB-19465,Central,OFF-BI-10002609,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
11,CA-2016-129903,10-02-2024,GZ-14470,Central,OFF-PA-10004040,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
12,US-2015-156867,11-02-2024,LC-16870,West,TEC-AC-10001552,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
13,US-2015-156867,12-02-2024,LC-16870,West,FUR-FU-10004006,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
14,US-2015-156867,13-02-2024,LC-16870,West,OFF-BI-10002794,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
15,CA-2017-119004,14-02-2024,JM-15250,South,TEC-AC-10003499,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
16,CA-2017-119004,15-02-2024,JM-15250,South,TEC-PH-10002844,Technology,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
17,CA-2017-119004,16-02-2024,JM-15250,South,OFF-AR-10000390,Office Supplies,Newell Chalk Holder,3.304,1,0.2,1.0738
18,CA-2015-129476,17-02-2024,PA-19060,Central,TEC-AC-10000844,Technology,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
19,CA-2017-146780,18-02-2024,CV-12805,East,FUR-FU-10001934,Furniture,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
20,CA-2016-128867,19-02-2024,CL-12565,Central,OFF-AR-10000380,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
21,CA-2016-128867,20-02-2024,CL-12565,Central,OFF-BI-10003981,Office Supplies,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
22,CA-2014-115259,21-02-2024,RC-19960,East,OFF-FA-10000621,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
23,CA-2014-115259,22-02-2024,RC-19960,East,OFF-EN-10002600,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
