Sr No.,Course List,Duration,Link for the Course
1, The Future Of Iam Trends And Innovations ,1 hour,https://learn.cyberfrat.com/courses/The-Future-of-IAM---Trends-and-Innovations-67a0688ec66ceb42caab4a39
2, Network Security Strategies ,1 Hour,https://learn.cyberfrat.com/courses/Network-Security-Strategies-6645939128febb3e9c330fcc
3, Owasp Top 10 For Llm Applications ,1 hour,https://learn.cyberfrat.com/courses/OWASP-Top-10-for-LLM-Applications-670b9290f042f46fdc2cbcae
4, A Tactical Guide To Aws Offensive Assessment ,1 hour,A Tactical Guide to AWS Offensive Assessment
5, Unveiling Account Takeover Tactics: Strategies And Safeguards ,1 hour,Unveiling Account Takeover Tactics: Strategies And Safeguards
6, Mastering Web Security  ,5 hours,https://learn.cyberfrat.com/courses/Masterclass-on-Mastering-the-Art-of-Bug-Bounties-Advanced-Web-Security-Techniques-65f73ceb67f938002a6ffbb6
7, Active Directory Security ,3 hours,https://learn.cyberfrat.com/courses/Masterclass-on-Active-Directory-Security-65c4d7d0e4b0e0940dff0323
8, A Comprehensive Study Into Bug Bounty Tools ,4 hours,https://learn.cyberfrat.com/courses/Masterclass-on-Comprehensive-Study-Into-Bug-Bounty-Tools-661e19fbef8cb05ac086fb8d
9, Penetration Testing: Securing Your Digital Fortress Through Ethical Hacking And Cyber Resilience ,1 hour,Penetration Testing: Securing Your Digital Fortress Through Ethical Hacking and Cyber Resilience
10, Shielding And Exploiting Servers: Strategies To Defend Against Rampant Dos And Ddos Onslaughts ,1 hour,https://learn.cyberfrat.com/courses/Shielding--Exploiting-Servers-Strategies-to-defend-against-Rampant-DoS-DDoSOnslaughts-65a0d742e4b0d2bdede27a00
11, Securing The Digital Ecosystem ,1 hour,https://learn.cyberfrat.com/courses/Securing-the-Digital-Ecosystem-Threat-Modeling-Risk-Assessment-and-Mitigation-Strategies-65d04edce4b0332c445f0ce3
12, Attaining Prowess In Shielding Against Xss Breaches ,1 hour,https://learn.cyberfrat.com/courses/Attaining-Prowess-in-Shielding-Against-XSS-Breaches-65bde6dae4b091b9bb83358f
13, Guardians Of The Gateway-Crucial Role Of Siem In Modern Cybersecurity ,1 hour,https://learn.cyberfrat.com/courses/Guardians-of-the-Gateway-Crucial-Role-of-SIEM-in-Modern-Cybersecurity-658d12eae4b0504b2d82a712
14, Navigating The Future: Next-Gen Dlp In Cybersecurity ,1 hour,https://learn.cyberfrat.com/courses/Navigating-the-Future-Next-Gen-DLP-in-Cybersecurity-657ff682e4b03d0e61c8d775
15, Let'S Understand The Real Malwares: Detection & Defense ,1 hour,https://learn.cyberfrat.com/courses/Lets-Understand-The-Real-Malwares-Detection--Defense-6555a456e4b0dabc7ee0f9ab
16, Advance Ir And Threat Hunting ,1 hour,https://learn.cyberfrat.com/courses/Advanced-IR--Threat-Hunting-653f9493e4b001fe0accf2fe
17, Malware Trends And Ttps A Practical Guide To Defending Against The Latest Threats ,1 hour,https://learn.cyberfrat.com/courses/Malware-Trends-and-TTPs-A-Practical-Guide-to-Defending-Against-the-Latest-Threats-652d356fe4b0133e5d83cac5
18, Root Cause Analysis- Techniques And Tips ,1 hour,https://learn.cyberfrat.com/courses/Root-Cause-Analysis--Techniques--Tips-651662d6e4b0c85486453dce
19, Navigating The Mitre: Advanced Cyber Defence Techniques ,5 Hours,https://learn.cyberfrat.com/courses/Navigating-the-Mitre-Advanced-Cyber-Defense-Techniques-64d0cb0ce4b01db87f17a507
20, Fundamentals Of Cybersecurity,1 hour,https://learn.cyberfrat.com/courses/Fundamentals-of-Cyber-Security-62bbe9750cf24f0d889d8d63
